"region","zone","language","residence","sex","population"
"addis.ababa","administration","affarigna","urban","m",1088
"addis.ababa","administration","agew-awinigigna","urban","m",1044
"addis.ababa","administration","agew-kamyrnya","urban","m",1664
"addis.ababa","administration","alabigna","urban","m",1446
"addis.ababa","administration","amarigna","urban","m",912558
"addis.ababa","administration","anyiwakgna","urban","m",1199
"addis.ababa","administration","argobigna","urban","m",1306
"addis.ababa","administration","arigna","urban","m",407
"addis.ababa","administration","arborigna","urban","m",105
"addis.ababa","administration","bachagna","urban","m",21
"addis.ababa","administration","basketigna","urban","m",19
"addis.ababa","administration","benchigna","urban","m",62
"addis.ababa","administration","bertagna","urban","m",354
"addis.ababa","administration","bodigna","urban","m",89
"addis.ababa","administration","brayligna","urban","m",92
"addis.ababa","administration","burjigna","urban","m",64
"addis.ababa","administration","benagna","urban","m",10
"addis.ababa","administration","charigna","urban","m",15
"addis.ababa","administration","dasenechgna","urban","m",40
"addis.ababa","administration","dawurogna","urban","m",368
"addis.ababa","administration","debosgna","urban","m",44
"addis.ababa","administration","derashigna","urban","m",264
"addis.ababa","administration","dimegna","urban","m",10
"addis.ababa","administration","dizigna","urban","m",32
"addis.ababa","administration","dongigna","urban","m",82
"addis.ababa","administration","demegna","urban","m",95
"addis.ababa","administration","felashigna","urban","m",21
"addis.ababa","administration","fedashigna","urban","m",38
"addis.ababa","administration","gamogna","urban","m",16810
"addis.ababa","administration","gebatogna","urban","m",79
"addis.ababa","administration","gedeogna","urban","m",188
"addis.ababa","administration","gedichogna","urban","m",44
"addis.ababa","administration","gedoligna","urban","m",65
"addis.ababa","administration","goffigna","urban","m",342
"addis.ababa","administration","gumuzigna","urban","m",417
"addis.ababa","administration","guragiegna","urban","m",118180
"addis.ababa","administration","guagugna","urban","m",612
"addis.ababa","administration","hadiyigna","urban","m",6542
"addis.ababa","administration","hareriegna","urban","m",2576
"addis.ababa","administration","hamerigna","urban","m",33
"addis.ababa","administration","irobigna","urban","m",43
"addis.ababa","administration","keffagna","urban","m",598
"addis.ababa","administration","kembatigna","urban","m",1658
"addis.ababa","administration","kontigna","urban","m",20
"addis.ababa","administration","komigna","urban","m",60
"addis.ababa","administration","konsogna","urban","m",78
"addis.ababa","administration","koregna","urban","m",51
"addis.ababa","administration","koygogna","urban","m",14
"addis.ababa","administration","koyrigna","urban","m",81
"addis.ababa","administration","kunamigna","urban","m",197
"addis.ababa","administration","karogna","urban","m",8
"addis.ababa","administration","kusumegna","urban","m",13
"addis.ababa","administration","maliegna","urban","m",716
"addis.ababa","administration","maogna","urban","m",1229
"addis.ababa","administration","marekogna","urban","m",551
"addis.ababa","administration","mashiligna","urban","m",155
"addis.ababa","administration","merigna","urban","m",147
"addis.ababa","administration","me-enigna","urban","m",25
"addis.ababa","administration","messengogna","urban","m",403
"addis.ababa","administration","mejengerigna","urban","m",0
"addis.ababa","administration","mossigna","urban","m",544
"addis.ababa","administration","mursygna","urban","m",29
"addis.ababa","administration","murlegna","urban","m",97
"addis.ababa","administration","naogna","urban","m",81
"addis.ababa","administration","nuwerigna","urban","m",651
"addis.ababa","administration","nyangatomigna","urban","m",70
"addis.ababa","administration","oromigna","urban","m",131376
"addis.ababa","administration","oydigna","urban","m",567
"addis.ababa","administration","qebenigna","urban","m",281
"addis.ababa","administration","qechemigna","urban","m",162
"addis.ababa","administration","qewamigna","urban","m",4
"addis.ababa","administration","shekacho","urban","m",67
